entity_type,entity_id,name,status,issues,fixes_applied
subcategory,d5dbc2ba-da71-583d-96ab-1bf347a1dd0e,12x18 DOUBLE CHARGE,clean,,
subcategory,324a2767-67a9-5bce-a315-b39922ef5180,12x18 DIGITAL,clean,,
subcategory,da79de95-0943-550c-83eb-76a5b5127f5f,12x24 DIGITAL,clean,,
subcategory,40d61466-97b4-5601-8ffc-8d7ce72e2fc6,8x40 PLANKS,clean,,
subcategory,4d68c90f-4330-5a14-b5ea-75645d9d84a1,12x12 DIGITAL PARKING,clean,,
subcategory,1a95a2ec-1128-5c47-86ff-52fba52cb718,12x48 STAIRS FULL BODY,clean,,
subcategory,04f6ca81-fc97-5a86-bb67-7b02fb8ef392,10x24 NANO,clean,,
subcategory,0837d5f7-7648-5d95-8ba0-8d6b79435b22,12x24 GVT/PGVT,clean,,
subcategory,0c2ac59e-993d-5f83-868c-757585046cbd,24x48 DIGITAL PARKING,clean,,
subcategory,19652dac-9752-5e2a-91ab-fa21f5545c64,16x32 NANO,clean,,
subcategory,5e2fd084-dadb-5914-b848-174e837ebca6,16x16 PLANKS,clean,,
subcategory,6821b497-f88d-590b-8343-b5b978e10316,10x24 FULL BODY,clean,,
subcategory,68655a76-d3c4-5245-8b85-249e8d928197,32x64 FULL BODY,clean,,
subcategory,7aabf958-a2d5-5f9d-bcb6-ddd2a2c948d2,24x24 NANO,clean,,
subcategory,7ecfa39f-e5fc-5b37-8561-a83cb291c11f,16x16 DOUBLE CHARGE,clean,,
subcategory,9844c494-4abb-5ae7-93d5-e20c02dbc2c3,8x48 HD,clean,,
subcategory,abcdb4c7-6986-5a43-a53a-762811073d2d,32x64 PLANKS,clean,,
subcategory,b5f55763-c10c-5802-8bb4-799244dc108e,12x18 NANO,clean,,
subcategory,ca106a0e-e782-5955-bb43-c6a8a7e69b9d,32x64 DIGITAL PARKING,clean,,
subcategory,cf8d712e-9197-5d16-a34c-ce0f71fb2828,24x48 DIGITAL,clean,,
subcategory,d5a5d42b-e573-5d00-9235-031ce9874bf2,12x18 DIGITAL PARKING,clean,,
subcategory,dffdee3e-7ad1-53c8-96f7-3cc4a193f638,10x24 DIGITAL PARKING,clean,,
subcategory,e4192f45-8c46-5357-af56-c2977ab3eaf9,8x40 DIGITAL PARKING,clean,,
subcategory,11075dac-418d-503e-ac0d-d721bfcd9870,12x12 DIGITAL,clean,,
subcategory,16a83197-7197-5504-b987-499423cb33f4,16x16 DIGITAL PARKING,clean,,
subcategory,43587789-8e5b-5e33-aa61-4ce2ae629c1a,4x12 SUBWAY,clean,,
subcategory,4ec7344e-7da7-52df-90d1-a532be8f2e87,24x24 DIGITAL,clean,,
subcategory,55b4b5ff-86f7-5358-8f25-5ec562048ce5,96x32 FULL BODY,clean,,
